1518547260000,8635.89000000,8638.04000000,8631.18000000,8635.37000000,6.56213000,1518547319999,56670.76459090,135,3.57882100,30911.71259536,0
1518547320000,8635.37000000,8638.00000000,8633.05000000,8635.02000000,4.34690600,1518547379999,37535.99482738,86,2.41715000,20873.17089146,0
1518547380000,8635.02000000,8636.05000000,8632.00000000,8632.00000000,6.78615000,1518547439999,58583.07264047,148,2.81049500,24262.87304885,0
1518547440000,8632.00000000,8632.00000000,8612.68000000,8619.48000000,16.42954300,1518547499999,141676.30016425,192,5.33324200,45984.25563534,0
1518547500000,8619.45000000,8637.48000000,8610.46000000,8622.34000000,16.10267900,1518547559999,138932.37580416,240,10.78439200,93091.64986994,0
1518547560000,8622.47000000,8634.00000000,8615.90000000,8618.38000000,10.07466800,1518547619999,86953.98982038,163,8.30408600,71684.52929584,0
1518547620000,8624.96000000,8624.96000000,8616.94000000,8619.03000000,2.56678100,1518547679999,22124.63686402,79,1.34494200,11592.89794413,0
1518547680000,8623.55000000,8623.55000000,8610.00000000,8616.74000000,18.68768300,1518547739999,161020.30883838,216,10.03985100,86514.16624745,0
1518547740000,8617.39000000,8622.00000000,8610.00000000,8611.00000000,15.11437600,1518547799999,130187.65404403,157,0.63975200,5513.91914507,0
1518547800000,8611.00000000,8615.89000000,8606.53000000,8608.33000000,8.49781500,1518547859999,73167.17667705,95,4.48853600,38648.13058288,0
1518547860000,8608.33000000,8610.01000000,8604.60000000,8608.50000000,8.12399300,1518547919999,69928.24452772,122,4.83510600,41619.19822256,0
1518547920000,8604.85000000,8622.01000000,8604.60000000,8622.01000000,21.80445300,1518547979999,187787.08761103,289,10.24561000,88241.14940824,0
1518547980000,8619.87000000,8623.42000000,8604.00000000,8605.30000000,6.78776900,1518548039999,58451.68856345,133,3.48987500,30041.00062164,0
1518548040000,8612.53000000,8613.02000000,8607.33000000,8610.58000000,2.60316300,1518548099999,22415.68759696,89,2.17209400,18704.67960839,0
1518548100000,8610.61000000,8610.61000000,8600.02000000,8600.02000000,10.70618300,1518548159999,92115.06265528,189,1.71609800,14770.51033943,0
1518548160000,8606.25000000,8606.25000000,8585.58000000,8597.57000000,31.91960800,1518548219999,274374.56299682,337,7.15567200,61494.50445019,0
1518548220000,8597.97000000,8606.25000000,8587.32000000,8592.75000000,13.66280100,1518548279999,117437.54289342,228,8.44663700,72604.35628642,0
1518548280000,8591.00000000,8598.74000000,8585.58000000,8589.81000000,10.16777400,1518548339999,87345.73407567,150,5.36872000,46120.10613989,0
1518548340000,8586.24000000,8590.00000000,8565.00000000,8569.69000000,43.26560700,1518548399999,371209.79315059,515,10.38803300,89144.41251168,0
1518548400000,8569.69000000,8586.32000000,8545.00000000,8566.90000000,63.82568800,1518548459999,546632.94835292,568,25.42130600,217864.22209793,0
1518548460000,8567.81000000,8575.00000000,8562.16000000,8570.38000000,17.55870200,1518548519999,150518.90010538,218,9.36382400,80269.64523780,0
1518548520000,8570.42000000,8573.00000000,8561.50000000,8561.50000000,8.38749100,1518548579999,71871.78186113,138,3.83786100,32887.64054689,0
1518548580000,8563.86000000,8566.34000000,8561.11000000,8564.86000000,11.64897500,1518548639999,99752.47087312,181,5.13254100,43953.05714483,0
1518548640000,8561.50000000,8561.97000000,8540.39000000,8549.97000000,22.87167000,1518548699999,195607.82581332,507,9.46269000,80931.59815833,0
1518548700000,8547.10000000,8554.51000000,8546.91000000,8550.00000000,14.37386800,1518548759999,122887.01878120,297,7.05624600,60329.58171518,0
1518548760000,8550.00000000,8564.86000000,8549.14000000,8561.63000000,16.42586700,1518548819999,140570.57403909,368,9.21084600,78826.60510230,0
1518548820000,8561.00000000,8564.91000000,8558.72000000,8560.27000000,8.87992600,1518548879999,76024.46514223,143,3.61393600,30944.51252238,0
1518548880000,8564.58000000,8564.91000000,8560.00000000,8563.00000000,13.01740300,1518548939999,111465.18075729,195,10.65285800,91221.70970457,0
1518548940000,8564.62000000,8585.00000000,8563.00000000,8564.73000000,38.46623900,1518548999999,329723.88593882,453,25.61049900,219508.57529675,0
1518549000000,8564.34000000,8581.00000000,8563.09000000,8572.04000000,11.77239100,1518549059999,100960.57588382,317,6.12045000,52493.34328594,0
1518549060000,8577.47000000,8582.00000000,8572.30000000,8580.11000000,8.01368900,1518549119999,68742.31260796,126,3.35098000,28754.07820154,0
1518549120000,8580.11000000,8590.16000000,8575.26000000,8590.16000000,9.38108300,1518549179999,80517.01243137,181,5.41761300,46500.20974084,0
1518549180000,8588.98000000,8610.00000000,8588.97000000,8598.89000000,31.61863400,1518549239999,271885.96854207,338,16.60716800,142828.54603695,0
1518549240000,8598.89000000,8610.54000000,8598.89000000,8605.00000000,9.42905000,1518549299999,81129.45398367,169,4.25660300,36629.17168294,0
1518549300000,8602.37000000,8610.00000000,8596.05000000,8602.35000000,8.51567700,1518549359999,73240.44423880,228,4.84582800,41676.43539172,0
1518549360000,8603.00000000,8605.50000000,8590.54000000,8597.54000000,5.08956900,1518549419999,43764.73147052,152,2.28189200,19625.85927377,0
1518549420000,8597.53000000,8597.53000000,8570.34000000,8596.63000000,36.44666600,1518549479999,312762.56552346,299,16.24341600,139414.38379805,0
1518549480000,8583.24000000,8596.71000000,8576.33000000,8580.04000000,6.15053500,1518549539999,52792.04364964,136,1.60659900,13796.04731015,0
1518549540000,8581.69000000,8594.95000000,8580.04000000,8589.01000000,10.25914800,1518549599999,88101.47652571,265,2.76483600,23741.67223641,0
1518549600000,8589.01000000,8596.53000000,8580.04000000,8585.99000000,10.14526200,1518549659999,87148.02308286,177,3.29984600,28352.44054822,0
1518549660000,8590.25000000,8593.02000000,8580.00000000,8580.09000000,8.24624600,1518549719999,70799.14802613,132,3.60388100,30954.30494321,0
1518549720000,8580.17000000,8584.57000000,8572.01000000,8578.84000000,9.82822000,1518549779999,84290.83878385,93,3.24157000,27805.03088790,0
1518549780000,8572.35000000,8578.66000000,8570.00000000,8576.06000000,7.90977900,1518549839999,67822.61302011,139,5.33219300,45722.99444051,0
1518549840000,8578.83000000,8584.48000000,8574.00000000,8583.00000000,17.20639100,1518549899999,147625.99548872,301,8.47648400,72728.06993884,0
1518549900000,8579.44000000,8583.32000000,8575.00000000,8580.00000000,7.30797100,1518549959999,62689.96525496,150,0.42668400,3660.94809392,0
1518549960000,8580.51000000,8590.94000000,8575.00000000,8585.09000000,9.48538200,1518550019999,81416.85274423,185,2.57260500,22088.65389197,0
1518550020000,8585.15000000,8588.85000000,8575.01000000,8580.50000000,8.17972500,1518550079999,70194.38143469,147,3.17254900,27224.71839025,0
1518550080000,8578.15000000,8595.58000000,8575.06000000,8590.88000000,19.33792500,1518550139999,166010.26410460,335,8.67893700,74520.69506150,0
1518550140000,8595.92000000,8595.93000000,8576.49000000,8591.64000000,12.21952200,1518550199999,104935.75590681,229,5.09812500,43787.44908093,0
1518550200000,8577.50000000,8588.75000000,8575.01000000,8581.24000000,12.14414900,1518550259999,104183.87650739,265,5.66043500,48563.17213195,0
1518550260000,8581.24000000,8590.00000000,8577.73000000,8586.88000000,3.90196000,1518550319999,33486.77481479,64,3.15434100,27072.52179191,0
1518550320000,8587.00000000,8587.00000000,8582.45000000,8585.94000000,1.46194600,1518550379999,12553.19195236,43,0.20341100,1746.59815866,0
1518550380000,8585.94000000,8586.88000000,8583.00000000,8586.88000000,3.76274300,1518550439999,32305.13574736,73,3.26274700,28013.29682190,0
1518550440000,8583.39000000,8586.89000000,8583.24000000,8584.28000000,3.23492300,1518550499999,27772.56333048,140,1.49053700,12798.84875795,0
1518550500000,8584.16000000,8592.00000000,8583.00000000,8584.33000000,6.16572900,1518550559999,52949.03378357,187,3.63989900,31259.39346530,0
1518550560000,8587.00000000,8601.90000000,8585.86000000,8600.77000000,24.04893800,1518550619999,206706.79831233,339,14.80434700,127249.84725924,0
1518550620000,8600.77000000,8610.00000000,8590.00000000,8590.00000000,25.61277900,1518550679999,220294.00385025,280,1.85053500,15921.13587808,0
1518550680000,8590.02000000,8600.00000000,8590.02000000,8598.76000000,10.90087000,1518550739999,93684.34487624,192,6.64951200,57149.13897205,0
1518550740000,8594.08000000,8609.61000000,8594.00000000,8597.83000000,9.09963300,1518550799999,78272.93323536,151,5.88241100,50591.52101232,0
1518550800000,8597.83000000,8609.90000000,8597.83000000,8605.18000000,8.98833600,1518550859999,77346.63686636,184,5.72085400,49230.73991285,0
1518550860000,8605.09000000,8613.02000000,8605.09000000,8611.00000000,14.92926600,1518550919999,128547.89258882,161,4.07291200,35071.30777453,0
1518550920000,8611.00000000,8615.04000000,8604.44000000,8612.01000000,16.27597400,1518550979999,140163.01165804,170,5.79826500,49934.42753820,0
1518550980000,8612.01000000,8619.99000000,8590.90000000,8603.42000000,14.82751700,1518551039999,127642.59232591,263,1.46440300,12611.09057945,0
1518551040000,8603.34000000,8604.73000000,8595.91000000,8600.00000000,9.09056700,1518551099999,78184.88833122,139,4.56141700,39232.77859314,0
1518551100000,8600.00000000,8608.01000000,8598.00000000,8603.78000000,6.64070900,1518551159999,57134.37412138,172,2.48040600,21343.90276338,0
1518551160000,8603.78000000,8610.00000000,8603.78000000,8607.23000000,4.04772900,1518551219999,34840.76241914,109,1.40265100,12074.35534198,0
1518551220000,8607.23000000,8607.23000000,8598.00000000,8598.01000000,16.81453600,1518551279999,144628.59310037,311,5.86651500,50461.62505297,0
1518551280000,8598.07000000,8611.99000000,8598.07000000,8603.00000000,8.38400800,1518551339999,72166.50755778,272,3.17752700,27353.37616343,0
1518551340000,8603.62000000,8609.58000000,8599.83000000,8603.17000000,7.38823300,1518551399999,63558.95138209,123,4.63563500,39882.10725346,0
1518551400000,8600.59000000,8603.18000000,8598.01000000,8601.87000000,8.35443500,1518551459999,71847.71652010,165,2.94881100,25360.75378498,0
